指数代码,交易日期,开盘价,收盘价,最低价,最高价,成交量,成交额,涨跌幅
sh000001,2003-01-29,1347.430000,1499.820000,1311.680000,1508.590000,26356765100.000000,191224274900.000000,0.104718
sh000001,2003-02-28,1499.170000,1511.930000,1474.470000,1524.750000,11981976600.000000,101186846200.000000,0.008074
sh000001,2003-03-31,1511.590000,1510.580000,1447.010000,1529.750000,15129424400.000000,130754282100.000000,-0.000893
sh000001,2003-04-30,1513.000000,1521.440000,1473.270000,1649.600000,45907719300.000000,369283802600.000000,0.007189
sh000001,2003-05-30,1522.980000,1576.260000,1477.250000,1581.610000,23225711500.000000,191777819500.000000,0.036032
sh000001,2003-06-30,1577.990000,1486.020000,1483.690000,1582.410000,19088744400.000000,155675418300.000000,-0.057249
sh000001,2003-07-31,1485.520000,1476.740000,1464.870000,1540.190000,18170168500.000000,149246356900.000000,-0.006245
sh000001,2003-08-29,1476.470000,1421.980000,1406.680000,1497.100000,11642717800.000000,94246255900.000000,-0.037082
sh000001,2003-09-30,1423.350000,1367.160000,1348.220000,1456.550000,14068060000.000000,113475786000.000000,-0.038552
sh000001,2003-10-31,1366.200000,1348.300000,1334.780000,1411.880000,15145493200.000000,105881320400.000000,-0.013795
sh000001,2003-11-28,1346.480000,1397.230000,1307.400000,1423.580000,28126143300.000000,186576755700.000000,0.036290
sh000001,2003-12-31,1398.710000,1497.040000,1398.710000,1525.300000,40260006400.000000,292869153800.000000,0.071434
sh000001,2004-01-30,1492.720000,1590.730000,1491.690000,1634.410000,32024141300.000000,247770736400.000000,0.062583
sh000001,2004-02-27,1630.650000,1675.070000,1585.960000,1730.280000,54598679800.000000,448005305700.000000,0.053020
sh000001,2004-03-31,1676.220000,1741.620000,1634.710000,1760.080000,41456281900.000000,351862076600.000000,0.039730
sh000001,2004-04-30,1744.710000,1595.590000,1572.230000,1783.010000,37296032000.000000,322956421700.000000,-0.083847
sh000001,2004-05-31,1600.630000,1555.910000,1508.650000,1606.070000,14788938600.000000,115079475700.000000,-0.024869
sh000001,2004-06-30,1555.560000,1399.160000,1376.220000,1580.570000,22133674600.000000,168700435700.000000,-0.100745
sh000001,2004-07-30,1398.200000,1386.200000,1366.500000,1466.780000,23101469700.000000,154585351500.000000,-0.009263
sh000001,2004-08-31,1381.880000,1342.060000,1310.020000,1424.550000,18065442300.000000,114055740300.000000,-0.031842
sh000001,2004-09-30,1340.750000,1396.700000,1259.430000,1496.210000,38906700600.000000,241460587000.000000,0.040714
sh000001,2004-10-29,1395.670000,1320.540000,1289.870000,1437.570000,26148282700.000000,172146750700.000000,-0.054529
sh000001,2004-11-30,1317.660000,1340.770000,1290.990000,1387.340000,30005794500.000000,183054069600.000000,0.015319
sh000001,2004-12-31,1340.920000,1266.500000,1264.150000,1352.460000,22127867200.000000,126738171700.000000,-0.055394
sh000001,2005-01-31,1260.780000,1191.820000,1189.210000,1268.860000,19709110000.000000,106512563500.000000,-0.058966
sh000001,2005-02-28,1189.500000,1306.000000,1187.260000,1328.530000,22335564000.000000,124718925000.000000,0.095803
sh000001,2005-03-31,1305.250000,1181.240000,1162.030000,1326.080000,31117798100.000000,181575963700.000000,-0.095528
sh000001,2005-04-29,1180.370000,1159.150000,1135.730000,1254.320000,31892298600.000000,175728356400.000000,-0.018701
sh000001,2005-05-31,1160.620000,1060.740000,1043.280000,1165.390000,18113184700.000000,87684325400.000000,-0.084898
sh000001,2005-06-30,1059.610000,1080.940000,998.230000,1146.420000,38621113200.000000,183695257700.000000,0.019043
sh000001,2005-07-29,1077.310000,1083.030000,1004.080000,1097.630000,30635280800.000000,131656033400.000000,0.001934
sh000001,2005-08-31,1082.800000,1162.800000,1081.120000,1201.760000,63610296000.000000,281300131500.000000,0.073654
sh000001,2005-09-30,1163.700000,1155.610000,1129.050000,1223.570000,54583932400.000000,251233820500.000000,-0.006183
sh000001,2005-10-31,1153.670000,1092.820000,1067.410000,1165.670000,26745026700.000000,127957218900.000000,-0.054335
sh000001,2005-11-30,1091.680000,1099.260000,1074.300000,1122.880000,31475160200.000000,135251223100.000000,0.005893
sh000001,2005-12-30,1098.780000,1161.060000,1074.010000,1173.060000,29656623100.000000,135785019400.000000,0.056220
sh000001,2006-01-25,1163.880000,1258.050000,1161.910000,1262.090000,45169508600.000000,221826109100.000000,0.083536
sh000001,2006-02-28,1263.000000,1299.030000,1256.810000,1304.610000,46654996400.000000,229474461800.000000,0.032574
sh000001,2006-03-31,1299.150000,1298.300000,1238.160000,1313.130000,50281289700.000000,249790299100.000000,-0.000562
sh000001,2006-04-28,1298.680000,1440.220000,1298.680000,1444.710000,82596950000.000000,435875447800.000000,0.109312
sh000001,2006-05-31,1446.990000,1641.300000,1446.990000,1678.600000,115630621800.000000,669010507900.000000,0.139618
sh000001,2006-06-30,1639.670000,1672.210000,1512.520000,1695.580000,98591190500.000000,558477207700.000000,0.018833
sh000001,2006-07-31,1677.310000,1612.730000,1611.160000,1757.470000,85715207400.000000,501540992300.000000,-0.035570
